objID,usno_b1_id,USNORa,USNODec,PannRa,PannDec,red1mag,red2mag,blue1mag,blue2mag,pmRa,pmDec,diff,indexData
131642248512401365,1097-0231856,224.84783,19.70162,224.85118,19.70058,19.05,?,20.25,20.82,0,0,0.00351,0
130242243605028925,1085-0233827,224.36152,18.54397,224.36051,18.54031,19.86,20.89,?,?,0,0,0.0038,1
131212240681792076,1093-0229852,224.06998,19.34097,224.0682,19.34294,19.03,?,20.09,21.66,108,-34,0.00266,2
131452247959907592,1095-0231441,224.79978,19.54578,224.79604,19.54743,?,?,20.56,20.93,0,0,0.00409,3
131492246471506395,1095-0231254,224.64298,19.58329,224.6471,19.57992,?,?,20.63,21.84,0,0,0.00532,4
129602243453076439,1080-0267074,224.34403,18.00789,224.34532,18.00488,19.73,?,?,22.07,0,0,0.00327,5
130932240288927252,1091-0231732,224.03244,19.11379,224.02876,19.11398,?,19.57,?,20.92,0,0,0.00368,6
131182239467896100,1093-0229683,223.94551,19.32025,223.94676,19.32141,20.03,20.61,?,21.58,-410,-454,0.00171,7
130972247906297321,1091-0232503,224.78771,19.14818,224.79053,19.14738,19.16,?,?,20.11,0,0,0.00293,8
131332232174196445,1094-0227862,223.22073,19.44654,223.21738,19.44671,?,?,20.51,?,0,0,0.00335,9
129652237535735813,1080-0266431,223.75008,18.04327,223.75352,18.04606,?,?,?,18.67,0,0,0.00443,10
131862234066036298,1098-0231328,223.4024,19.88914,223.40659,19.88813,18.56,18.69,?,20.50,0,0,0.00431,11
131482247739060410,1095-0231420,224.77445,19.56131,224.77386,19.56652,18.98,19.80,?,?,6,52,0.00524,12
130432237283842458,1086-0234125,223.72917,18.69183,223.72838,18.69329,?,?,20.14,?,0,0,0.00166,13
130132244033707911,1084-0241528,224.40519,18.44414,224.40348,18.44781,19.74,?,?,?,0,0,0.00405,14
130932233524863157,1091-0230974,223.35057,19.11056,223.35251,19.1105,?,19.21,?,?,0,0,0.00194,15
131472246575457700,1095-0231274,224.65827,19.56295,224.6573,19.56423,19.33,17.15,?,19.00,-12,176,0.00161,16
131282232104759666,1094-0227859,223.21368,19.40764,223.21048,19.40767,?,20.40,20.93,21.11,212,-310,0.0032,17
130202231536920163,1085-0232503,223.15346,18.50434,223.1536,18.4997,?,?,20.93,21.87,0,0,0.00464,18
131472233238595575,1095-0230058,223.31029,19.56284,223.32385,19.56247,19.94,?,?,19.69,0,0,0.01357,19
131112240448894245,1092-0230385,224.04316,19.26016,224.045,19.26164,?,19.18,?,21.22,84,68,0.00236,20
131442241523098355,1095-0230844,224.14954,19.54082,224.15229,19.53981,20.05,?,20.87,?,0,0,0.00293,21
130682232179199133,1089-0232026,223.22142,18.90697,223.21811,18.90677,?,16.30,?,?,0,0,0.00332,22
131162237645580195,1093-0229467,223.76262,19.30078,223.7645,19.29976,19.91,20.73,?,?,0,0,0.00214,23
129862244141329770,1082-0261823,224.41254,18.22311,224.41413,18.2244,?,?,20.47,21.73,-476,-426,0.00205,24
131962248947446350,1099-0233107,224.896,19.97507,224.89469,19.97145,18.91,?,21.10,?,0,0,0.00385,25
130672248502661877,1088-0232882,224.85229,18.89022,224.85023,18.89273,?,20.81,?,?,0,0,0.00325,26
130942236690759076,1091-0231379,223.67078,19.12259,223.66911,19.12374,?,20.44,20.94,20.92,-234,-86,0.00203,27
130842231844658022,1090-0231533,223.1802,19.04135,223.18446,19.03961,18.75,16.80,?,?,0,0,0.0046,28
130772241195040496,1089-0232993,224.11807,18.97673,224.1195,18.97498,19.44,18.21,?,19.52,90,-2,0.00226,29
131662232231220006,1097-0230337,223.22098,19.71601,223.22311,19.7163,?,?,20.56,21.05,-556,246,0.00215,30
131692233220574588,1097-0230436,223.31793,19.74046,223.32204,19.74507,19.86,?,?,?,0,0,0.00618,31
129722232786775026,1081-0265642,223.28018,18.10181,223.27865,18.10379,19.21,?,?,19.94,0,0,0.0025,32
129682234234277456,1080-0266108,223.42157,18.06824,223.42341,18.07242,18.97,20.19,?,20.82,18,-224,0.00457,33
130072236956058784,1084-0240798,223.69021,18.401,223.69567,18.39858,?,?,21.11,?,0,0,0.00597,34
130392233800634929,1086-0233670,223.38179,18.66385,223.38008,18.66204,19.85,19.65,?,19.90,242,-158,0.00249,35
129662240039587067,1080-0266718,224.00424,18.05807,224.00393,18.05541,19.14,19.22,?,19.92,44,38,0.00268,36
130712233046823985,1089-0232139,223.3089,18.92023,223.30469,18.92785,?,20.68,?,21.38,0,0,0.00871,37
131692238608219168,1097-0230978,223.85827,19.7496,223.8608,19.74879,?,?,21.10,21.69,0,0,0.00266,38
131422244046998149,1095-0231058,224.39862,19.52124,224.40473,19.52294,19.56,?,?,21.63,0,0,0.00634,39
130012243663867803,1083-0252258,224.36711,18.34556,224.36634,18.34769,?,?,?,19.88,0,0,0.00226,40
130932244769598517,1091-0232223,224.47301,19.11544,224.47693,19.11494,19.69,20.73,20.51,?,368,192,0.00395,41
130532237121519221,1087-0232421,223.71958,18.78377,223.71209,18.78227,19.54,20.03,?,?,0,0,0.00764,42
129982238235081631,1083-0251725,223.8255,18.31551,223.82346,18.3176,?,20.50,?,?,0,0,0.00292,43
130982233259435074,1091-0230907,223.32847,19.15258,223.32584,19.15387,?,17.49,?,20.34,768,262,0.00293,44
130952231368707498,1091-0230646,223.13709,19.13437,223.13689,19.13088,?,19.95,20.25,19.28,6,30,0.0035,45
129882240083593855,1082-0261356,224.00531,18.23471,224.00834,18.23609,?,?,20.89,?,0,0,0.00333,46
130272237003717349,1085-0233152,223.70211,18.56288,223.7004,18.56403,15.57,16.77,?,15.10,0,0,0.00206,47
131172236748617118,1093-0229324,223.66626,19.31452,223.67498,19.31397,?,20.84,?,21.89,0,0,0.00874,48
129652237535735813,1080-0266433,223.75098,18.04292,223.75352,18.04606,?,?,20.08,?,0,0,0.00404,49
131382244180858383,1094-0229000,224.41968,19.49035,224.41807,19.48991,?,18.07,?,20.03,0,0,0.00167,50
131422231279756981,1095-0229847,223.12713,19.52463,223.12804,19.52227,?,20.68,?,21.43,-246,698,0.00253,51
131722237114827502,1097-0230850,223.71328,19.77158,223.71145,19.77247,19.39,?,?,21.76,0,0,0.00203,52
130102240364204125,1084-0241096,224.03262,18.41779,224.03639,18.41978,?,?,21.02,?,0,0,0.00426,53
130832231911942494,1090-0231549,223.18618,19.02898,223.19113,19.02667,?,20.83,?,22.10,0,0,0.00546,54
130772244716327950,1089-0233425,224.47409,18.98735,224.47158,18.98116,18.05,?,?,20.75,0,0,0.00668,55
129872241976841552,1082-0261593,224.19784,18.22733,224.19768,18.22574,19.18,?,?,?,0,0,0.0016,56
131122233362476556,1092-0229503,223.33283,19.26007,223.33647,19.27159,19.79,19.64,?,21.47,-10,2,0.01208,57
130872235096989575,1090-0231858,223.50841,19.06511,223.50976,19.06582,?,?,20.69,21.77,0,0,0.00153,58
130922247495260767,1091-0232482,224.75047,19.10143,224.74957,19.10021,18.33,20.19,19.57,21.53,180,6,0.00152,59
131632230594787284,1096-0229500,223.05841,19.69425,223.05962,19.69726,?,?,21.03,21.89,0,0,0.00324,60
